"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/03/30","20:00","-3.647","-","-3.38"
"2024/03/30","21:00","-4.639","-","-4.31"
"2024/03/30","22:00","-4.987","-","-4.59"
"2024/03/30","23:00","-4.654","-","-4.24"
"2024/03/31","00:00","-3.798","-","-3.44"
"2024/03/31","01:00","-2.607","-","-2.23"
"2024/03/31","02:00","-1.24","-","-0.99"
"2024/03/31","03:00","0.092","-","0.34"
"2024/03/31","04:00","1.176","-","1.5"
"2024/03/31","05:00","1.914","-","2.4"
"2024/03/31","06:00","2.31","-","2.81"
"2024/03/31","07:00","2.405","-","2.81"
"2024/03/31","08:00","2.292","-","2.61"
"2024/03/31","09:00","2.114","-","2.38"
"2024/03/31","10:00","2.018","-","2.22"
"2024/03/31","11:00","2.079","-","2.14"
"2024/03/31","12:00","2.239","-","2.21"
"2024/03/31","13:00","2.392","-","2.35"
"2024/03/31","14:00","2.478","-","2.45"
"2024/03/31","15:00","2.407","-","2.35"
"2024/03/31","16:00","2.029","-","1.85"
"2024/03/31","17:00","1.256","-","1.05"
"2024/03/31","18:00","0.116","-","-0.11"
"2024/03/31","19:00","-1.282","-","-1.53"
"2024/03/31","20:00","-2.754","-","-3"
"2024/03/31","21:00","-4.042","-","-4.13"
"2024/03/31","22:00","-4.885","-","-4.83"
"2024/03/31","23:00","-5.104","-","-4.97"
"2024/04/01","00:00","-4.69","-","-"
"2024/04/01","01:00","-3.798","-","-"
"2024/04/01","02:00","-2.6","-","-"
"2024/04/01","03:00","-1.253","-","-"
"2024/04/01","04:00","0.048","-","-"
"2024/04/01","05:00","1.128","-","-"
"2024/04/01","06:00","1.914","-","-"
"2024/04/01","07:00","2.397","-","-"
"2024/04/01","08:00","2.598","-","-"
"2024/04/01","09:00","2.592","-","-"
"2024/04/01","10:00","2.488","-","-"
"2024/04/01","11:00","2.407","-","-"
"2024/04/01","12:00","2.417","-","-"
"2024/04/01","13:00","2.476","-","-"
"2024/04/01","14:00","2.503","-","-"
"2024/04/01","15:00","2.45","-","-"
"2024/04/01","16:00","2.24","-","-"
"2024/04/01","17:00","1.751","-","-"
"2024/04/01","18:00","0.92","-","-"
"2024/04/01","19:00","-0.223","-","-"
"2024/04/01","20:00","-1.578","-","-"
"2024/04/01","21:00","-2.97","-","-"
"2024/04/01","22:00","-4.172","-","-"
"2024/04/01","23:00","-4.953","-","-"
"2024/04/02","00:00","-5.143","-","-"
"2024/04/02","01:00","-4.733","-","-"
"2024/04/02","02:00","-3.866","-","-"
"2024/04/02","03:00","-2.7","-","-"
"2024/04/02","04:00","-1.375","-","-"
"2024/04/02","05:00","-0.068","-","-"
"2024/04/02","06:00","1.06","-","-"
"2024/04/02","07:00","1.928","-","-"
"2024/04/02","08:00","2.504","-","-"
"2024/04/02","09:00","2.789","-","-"
"2024/04/02","10:00","2.825","-","-"
"2024/04/02","11:00","2.702","-","-"
"2024/04/02","12:00","2.553","-","-"
"2024/04/02","13:00","2.471","-","-"
"2024/04/02","14:00","2.429","-","-"
"2024/04/02","15:00","2.363","-","-"
"2024/04/02","16:00","2.246","-","-"
"2024/04/02","17:00","2.009","-","-"
"2024/04/02","18:00","1.53","-","-"
"2024/04/02","19:00","0.742","-","-"
"2024/04/02","20:00","-0.333","-","-"
"2024/04/02","21:00","-1.607","-","-"
"2024/04/02","22:00","-2.937","-","-"
"2024/04/02","23:00","-4.121","-","-"
"2024/04/03","00:00","-4.922","-","-"
"2024/04/03","01:00","-5.149","-","-"
"2024/04/03","02:00","-4.789","-","-"
"2024/04/03","03:00","-3.973","-","-"
"2024/04/03","04:00","-2.828","-","-"
"2024/04/03","05:00","-1.479","-","-"
"2024/04/03","06:00","-0.117","-","-"
"2024/04/03","07:00","1.083","-","-"
"2024/04/03","08:00","2.028","-","-"
"2024/04/03","09:00","2.662","-","-"
"2024/04/03","10:00","2.951","-","-"
"2024/04/03","11:00","2.914","-","-"
"2024/04/03","12:00","2.664","-","-"
"2024/04/03","13:00","2.38","-","-"
"2024/04/03","14:00","2.183","-","-"
"2024/04/03","15:00","2.057","-","-"
"2024/04/03","16:00","1.969","-","-"
"2024/04/03","17:00","1.901","-","-"
"2024/04/03","18:00","1.756","-","-"
"2024/04/03","19:00","1.386","-","-"
"2024/04/03","20:00","0.719","-","-"
"2024/04/03","21:00","-0.234","-","-"
"2024/04/03","22:00","-1.421","-","-"
"2024/04/03","23:00","-2.729","-","-"
"2024/04/04","00:00","-3.951","-","-"
"2024/04/04","01:00","-4.812","-","-"
"2024/04/04","02:00","-5.101","-","-"
"2024/04/04","03:00","-4.796","-","-"
"2024/04/04","04:00","-4.002","-","-"
"2024/04/04","05:00","-2.821","-","-"
"2024/04/04","06:00","-1.401","-","-"
"2024/04/04","07:00","0.029","-","-"
"2024/04/04","08:00","1.283","-","-"
"2024/04/04","09:00","2.254","-","-"
"2024/04/04","10:00","2.85","-","-"
"2024/04/04","11:00","3.005","-","-"
"2024/04/04","12:00","2.759","-","-"
"2024/04/04","13:00","2.284","-","-"
"2024/04/04","14:00","1.819","-","-"
"2024/04/04","15:00","1.505","-","-"
"2024/04/04","16:00","1.355","-","-"
"2024/04/04","17:00","1.351","-","-"
"2024/04/04","18:00","1.446","-","-"
"2024/04/04","19:00","1.488","-","-"
"2024/04/04","20:00","1.307","-","-"
"2024/04/04","21:00","0.827","-","-"
"2024/04/04","22:00","0.025","-","-"
"2024/04/04","23:00","-1.088","-","-"
"2024/04/05","00:00","-2.401","-","-"
"2024/04/05","01:00","-3.674","-","-"
"2024/04/05","02:00","-4.592","-","-"
"2024/04/05","03:00","-4.922","-","-"
"2024/04/05","04:00","-4.626","-","-"
"2024/04/05","05:00","-3.786","-","-"
"2024/04/05","06:00","-2.519","-","-"
"2024/04/05","07:00","-1.026","-","-"
"2024/04/05","08:00","0.438","-","-"
"2024/04/05","09:00","1.682","-","-"
"2024/04/05","10:00","2.57","-","-"
"2024/04/05","11:00","2.975","-","-"
"2024/04/05","12:00","2.84","-","-"
"2024/04/05","13:00","2.265","-","-"
"2024/04/05","14:00","1.499","-","-"
"2024/04/05","15:00","0.835","-","-"
"2024/04/05","16:00","0.452","-","-"
"2024/04/05","17:00","0.375","-","-"
"2024/04/05","18:00","0.565","-","-"
"2024/04/05","19:00","0.909","-","-"
"2024/04/05","20:00","1.21","-","-"
"2024/04/05","21:00","1.286","-","-"
"2024/04/05","22:00","1.036","-","-"
"2024/04/05","23:00","0.392","-","-"
"2024/04/06","00:00","-0.653","-","-"
"2024/04/06","01:00","-1.965","-","-"
"2024/04/06","02:00","-3.264","-","-"
"2024/04/06","03:00","-4.198","-","-"
"2024/04/06","04:00","-4.506","-","-"
"2024/04/06","05:00","-4.142","-","-"
"2024/04/06","06:00","-3.204","-","-"
"2024/04/06","07:00","-1.855","-","-"
"2024/04/06","08:00","-0.335","-","-"
"2024/04/06","09:00","1.087","-","-"
"2024/04/06","10:00","2.207","-","-"
"2024/04/06","11:00","2.858","-","-"
"2024/04/06","12:00","2.91","-","-"
"2024/04/06","13:00","2.359","-","-"
"2024/04/06","14:00","1.377","-","-"
"2024/04/06","15:00","0.298","-","-"
"2024/04/06","16:00","-0.517","-","-"
"2024/04/06","17:00","-0.873","-","-"
"2024/04/06","18:00","-0.771","-","-"
"2024/04/06","19:00","-0.31","-","-"
"2024/04/06","20:00","0.344","-","-"
"2024/04/06","21:00","0.957","-","-"
"2024/04/06","22:00","1.328","-","-"
"2024/04/06","23:00","1.318","-","-"
